Ano,Municipio,value
2015,Azcapotzalco,476
2015,Benito Juárez,626
2015,Coyoacán,573
2015,Cuajimalpa de Morelos,186
2015,Cuauhtémoc,1506
2015,Gustavo A. Madero,1506
2015,Iztacalco,477
2015,Iztapalapa,1945
2015,La Magdalena Contreras,169
2015,Miguel Hidalgo,632
2015,Milpa Alta,119
2015,No Especificado,39
2015,Tlalpan,719
2015,Tláhuac,335
2015,Venustiano Carranza,810
2015,Xochimilco,411
2015,Álvaro Obregón,733
2016,Azcapotzalco,454
2016,Benito Juárez,662
2016,Coyoacán,566
2016,Cuajimalpa de Morelos,155
2016,Cuauhtémoc,1408
2016,Gustavo A. Madero,1424
2016,Iztacalco,429
2016,Iztapalapa,1671
2016,La Magdalena Contreras,150
2016,Miguel Hidalgo,624
2016,Milpa Alta,122
2016,No Especificado,31
2016,Tlalpan,737
2016,Tláhuac,386
2016,Venustiano Carranza,823
2016,Xochimilco,398
2016,Álvaro Obregón,628
2017,Azcapotzalco,458
2017,Benito Juárez,835
2017,Coyoacán,638
2017,Cuajimalpa de Morelos,163
2017,Cuauhtémoc,1470
2017,Gustavo A. Madero,1503
2017,Iztacalco,444
2017,Iztapalapa,1657
2017,La Magdalena Contreras,206
2017,Miguel Hidalgo,695
2017,Milpa Alta,161
2017,No Especificado,18
2017,Tlalpan,710
2017,Tláhuac,394
2017,Venustiano Carranza,860
2017,Xochimilco,352
2017,Álvaro Obregón,709
2018,Azcapotzalco,453
2018,Benito Juárez,680
2018,Coyoacán,678
2018,Cuajimalpa de Morelos,174
2018,Cuauhtémoc,1386
2018,Gustavo A. Madero,1630
2018,Iztacalco,442
2018,Iztapalapa,1816
2018,La Magdalena Contreras,181
2018,Miguel Hidalgo,588
2018,Milpa Alta,188
2018,No Especificado,16
2018,Tlalpan,756
2018,Tláhuac,455
2018,Venustiano Carranza,745
2018,Xochimilco,399
2018,Álvaro Obregón,798
2019,Azcapotzalco,374
2019,Benito Juárez,628
2019,Coyoacán,702
2019,Cuajimalpa de Morelos,208
2019,Cuauhtémoc,1310
2019,Gustavo A. Madero,1331
2019,Iztacalco,392
2019,Iztapalapa,2036
2019,La Magdalena Contreras,162
2019,Miguel Hidalgo,545
2019,Milpa Alta,164
2019,No Especificado,0
2019,Tlalpan,694
2019,Tláhuac,476
2019,Venustiano Carranza,657
2019,Xochimilco,363
2019,Álvaro Obregón,894
2020,Azcapotzalco,350
2020,Benito Juárez,513
2020,Coyoacán,425
2020,Cuajimalpa de Morelos,169
2020,Cuauhtémoc,834
2020,Gustavo A. Madero,1056
2020,Iztacalco,305
2020,Iztapalapa,1341
2020,La Magdalena Contreras,172
2020,Miguel Hidalgo,375
2020,Milpa Alta,147
2020,No Especificado,6
2020,Tlalpan,466
2020,Tláhuac,314
2020,Venustiano Carranza,537
2020,Xochimilco,266
2020,Álvaro Obregón,631
2021,Azcapotzalco,357
2021,Benito Juárez,650
2021,Coyoacán,538
2021,Cuajimalpa de Morelos,165
2021,Cuauhtémoc,940
2021,Gustavo A. Madero,1051
2021,Iztacalco,351
2021,Iztapalapa,1725
2021,La Magdalena Contreras,154
2021,Miguel Hidalgo,463
2021,Milpa Alta,214
2021,No Especificado,35
2021,Tlalpan,485
2021,Tláhuac,329
2021,Venustiano Carranza,548
2021,Xochimilco,297
2021,Álvaro Obregón,689
